Code,Chapter,Category,Subcategory,Level 2,Description
"S52.366E","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing"
"S52.366F","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"S52.366C","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC"
"S52.366D","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing"
"S52.366A","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, initial encounter for closed fracture"
"S52.366B","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, unspecified arm, initial encounter for open fracture type I or II"
"Y37.221S","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Military operations involving explosion of guided missile, civilian, sequela"
"M84.534S","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, left radius, sequela"
"T25.129S","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of first degree of unspecified foot, sequela"
"O31.33X0","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, not applicable or unspecified"
"O31.33X1","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 1"
"O31.33X2","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 2"
"O31.33X3","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 3"
"O31.33X4","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 4"
"O31.33X5","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 5"
"T28.3XXA","Injury, poisoning and certain other consequences of external causes","Burns and corrosions confined to eye and internal organs","-","-","Burn of internal genitourinary organs, initial encounter"
"T28.49XA","Injury, poisoning and certain other consequences of external causes","Burns and corrosions confined to eye and internal organs","-","-","Burn of other internal organ, initial encounter"
"S20.101A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified superficial injuries of breast, right breast, initial encounter"
"S61.502S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified open wound of left wrist, sequela"
"S20.101D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified superficial injuries of breast, right breast, subsequent encounter"
"T28.3XXD","Injury, poisoning and certain other consequences of external causes","Burns and corrosions confined to eye and internal organs","-","-","Burn of internal genitourinary organs, subsequent encounter"
"T28.49XD","Injury, poisoning and certain other consequences of external causes","Burns and corrosions confined to eye and internal organs","-","-","Burn of other internal organ, subsequent encounter"
"R18.8","Symptoms, signs and abnormal clinical and laboratory findings","Symptoms and signs involving the digestive system and abdomen","-","-","Other ascites"
"S61.502A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified open wound of left wrist, initial encounter"
"S61.502D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified open wound of left wrist, subsequent encounter"
"S20.101S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified superficial injuries of breast, right breast, sequela"
"T28.3XXS","Injury, poisoning and certain other consequences of external causes","Burns and corrosions confined to eye and internal organs","-","-","Burn of internal genitourinary organs, sequela"
"T28.49XS","Injury, poisoning and certain other consequences of external causes","Burns and corrosions confined to eye and internal organs","-","-","Burn of other internal organ, sequela"
"S95.901S","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Unspecified injury of unspecified blood vessel at ankle and foot level, right leg, sequela"
"S20.102A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified superficial injuries of breast, left breast, initial encounter"
"V90.23XS","External causes of morbidity","Transport accidents","-","-","Drowning and submersion due to falling or jumping from other burning powered watercraft, sequela"
"S20.102D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified superficial injuries of breast, left breast, subsequent encounter"
"S95.901D","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Unspecified injury of unspecified blood vessel at ankle and foot level, right leg, subsequent encounter"
"B02.7","Infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","Zoster (shingles)","-","Disseminated zoster"
"B02.8","Infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","Zoster (shingles)","-","Zoster with other complications"
"B02.9","Infectious and parasitic diseases","Viral infections characterized by skin and mucous membrane lesions","Zoster (shingles)","-","Zoster without complications"
